Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Dil Yarası-Orhan Gencebay,161.4990234375,0.26952678,0.29073563,0.3375455,0.061143454,25.669672,125.20941,0.09364013671875,0.02726728510789701,1950.82975277318,465.4180517811763,2104.12697141214,419.40490174707685,23.77127611430426,11.81632377544878,0.008534364,0.010792233,4032.8493118286133,1194.816668232849,Arabesk
Ayrılıktan Vazgeçelim-Orhan Gencebay,103.359375,0.33958182,0.29371747,0.118660286,0.034219652,3.120268,16.010386,0.1291728973388672,0.05064353109297651,2465.17117199893,617.367065474573,2440.9068400990755,340.4446315581378,23.768918969313862,11.886889117766797,0.018448232,0.0212103,5021.955127716064,1283.7140459371333,Arabesk
Al Senin Olsun-Orhan Gencebay,143.5546875,0.31656277,0.29641408,0.136776,0.054589596,4.5600266,32.480114,0.12189826965332032,0.06303722652387297,2132.879602214154,770.6259980625912,2026.6873198880887,406.656949606973,23.547560109363726,11.668538997946547,0.01581018,0.0314421,3965.061779022217,1470.933706285783,Arabesk
Dertler Benim Olsun-Orhan Gencebay,117.45383522727273,0.2643427,0.29553568,0.18834345,0.044187475,8.032587,39.907547,0.09031906127929687,0.02563237168850597,1840.6217729996781,333.53278668949326,2008.2305255448548,300.2262926017204,23.743778271517495,10.966668515089756,0.006012907,0.0061378744,3703.5006523132324,787.8167171853083,Arabesk
Sevecekmiş Gibisin-Orhan Gencebay,103.359375,0.28594208,0.29260227,0.098868236,0.030936785,2.012107,10.261133,0.1412128448486328,0.04219899767139328,2287.1486348275203,455.4078167682232,1969.6999534583258,274.47396229074207,24.506315312461442,12.138287785838832,0.008348959,0.011361667,4254.683361053467,802.4177384946013,Arabesk
İç Benim İçin-Orhan Gencebay,143.5546875,0.26799667,0.2875453,0.13868919,0.04231629,4.2752624,23.274591,0.1363922119140625,0.045377895319171996,2628.2927275352754,583.7116788628889,2509.24591435998,323.09292363879155,23.836904277769595,11.540080774081172,0.024857478,0.02828475,5453.611736297607,1199.5463408641403,Arabesk
Yarabbim-Orhan Gencebay,135.99917763157896,0.32789284,0.29616457,0.13726947,0.03165782,4.135427,17.907614,0.11455192565917968,0.04348480664190628,2272.8751388335622,499.83834709863993,2234.376413719423,286.3415792897957,24.259118334390752,12.98964085263644,0.013315233,0.016297381,4422.036724090576,1021.1042446841444,Arabesk
Beni Böyle Sev-Orhan Gencebay,103.359375,0.3272379,0.29670766,0.21449748,0.049200837,10.800737,55.66277,0.08770751953125,0.054744054298369565,2186.7067900789925,725.6138480796441,2495.27159517939,352.4526278227999,22.669160692841476,10.854522231747287,0.015981402,0.023867276,4740.223445892334,1381.419153836602,Arabesk
Hayat Devam Ediyor-Orhan Gencebay,112.34714673913044,0.3267646,0.28501138,0.10450999,0.026810652,2.5168881,13.272076,0.10323486328125,0.03439270885520022,1949.5350998986437,367.2528997472423,2159.7124480739926,240.7050784503578,24.660481868588608,12.189699374712424,0.006576334,0.0059620794,4123.515872955322,821.8587043700701,Arabesk
Milletin Duâsı-Orhan Gencebay,129.19921875,0.37889725,0.30133033,0.20306234,0.07747386,10.602856,88.692276,0.11083755493164063,0.06559431228746963,2718.6599727494004,778.0287288229704,2936.5345651644175,335.11471060298214,22.747601763116478,10.968073673962364,0.021573644,0.02447509,6369.76541519165,1385.5175524993517,Arabesk
Ziyankar-Orhan Gencebay,172.265625,0.29624456,0.3100355,0.16250585,0.058792766,6.7064004,47.76279,0.0816802978515625,0.04950551091915555,2078.49440164778,611.0810419839706,2373.1254201766546,343.29722602616494,23.138302457252824,10.27550544723888,0.012688366,0.022545343,4420.707721710205,1269.984455367051,Arabesk
Dilenci-Orhan Gencebay,99.38401442307692,0.29161435,0.3088908,0.27878672,0.09137946,19.267593,127.68976,0.081475830078125,0.04464533689117273,2103.554798102544,559.6745594828598,2341.272719012942,313.3237326010891,22.573969976745133,11.80634322483149,0.011969732,0.019140765,4555.037899017334,1110.5308232470911,Arabesk
Severek Ayrılalım-Orhan Gencebay,129.19921875,0.31154346,0.3028151,0.115358815,0.037379626,3.1409395,21.017115,0.1058746337890625,0.06392430709959665,2372.3824570275146,711.5127094879349,2422.8516894933455,320.54568613421685,23.30579681573889,12.185619691250306,0.017511874,0.022627963,4933.164310455322,1318.885211541865,Arabesk
