Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Vefasız-Aşık Mahzuni Şerif,92.28515625,0.32763752,0.30624738,0.21009815,0.084034234,11.535041,84.57412,0.07386627197265624,0.03878981539479614,2016.3107010236868,558.4593037787581,2435.967832981806,281.615182545654,24.04459367421042,11.780798300956732,0.0072679026,0.011143035,4580.087070465088,1132.0506286063119,Türkü
Bitmez Tükenmez Geceler-Aşık Mahzuni Şerif,99.38401442307692,0.27736828,0.30751076,0.15435526,0.052032255,6.009926,40.357494,0.06725006103515625,0.021690143553175983,1534.8964728952094,347.4395417591398,1694.888802927328,273.70791502913653,27.525877038464976,11.368441843666757,0.0005971089,0.00082895166,3093.976421356201,813.7342424192663,Türkü
Hacı Bektaş-Aşık Mahzuni Şerif,99.38401442307692,0.3570482,0.2899566,0.18400456,0.06381463,8.392643,49.65207,0.10931396484375,0.049804889454151666,2537.5189012980445,587.1146829910405,2790.2407877223486,265.8304714618203,23.0285877727797,11.552541736725813,0.021119675,0.02493067,5874.182109832764,1178.6601884369477,Türkü
Yuh Yuh - Mahzuni Şerif Remix-Ipek Ipekcioglu,107.666015625,0.43010673,0.30776075,0.2270104,0.13398957,15.977369,205.48215,0.08966598510742188,0.07028910240569254,2341.2473615812887,1217.9390415046462,2468.3494963169046,760.1127360008785,22.435376442915143,11.108814820621966,0.023549473,0.0401773,5038.971405029297,2575.958284237528,Türkü
Mehmet Emmi-Aşık Mahzuni Şerif,107.666015625,0.25093558,0.29697323,0.12829538,0.063245,4.6042657,40.72254,0.08193511962890625,0.028813812260045087,1778.7755277007025,503.3160793277962,1919.9938698475896,428.17327577061815,26.162117872937316,12.18662187628785,0.0034117945,0.005898617,3592.9663467407227,1205.820071565215,Türkü
Emmoğlu-Aşık Mahzuni Şerif,69.83741554054055,0.2674596,0.2963561,0.16105613,0.06816733,6.8257,52.826252,0.08942298889160157,0.03744905638462789,2042.2121941476216,483.5444247445714,2235.882546003828,282.0732776780013,24.722481211786306,11.640652127274771,0.007845256,0.010539253,4340.790939331055,924.2991930776975,Türkü
Seher Vakti-Aşık Mahzuni Şerif,112.34714673913044,0.26546913,0.2929177,0.0983869,0.047961686,2.5764465,19.185268,0.10129051208496094,0.04425909516225537,2018.3554895256887,499.40844319458483,2039.7611310080224,291.2470218000942,26.632642409903834,13.9865535937815,0.0038015172,0.0044595473,4319.282970428467,1237.6384460908569,Türkü
Gözlerin-Aşık Mahzuni Şerif,143.5546875,0.26004717,0.3035066,0.112446405,0.03991925,3.137269,20.885767,0.10682220458984375,0.04783297077839589,2823.5530277419566,654.1585948401018,2919.7253557478816,308.17635082686826,25.061612148779133,11.132513126965891,0.015803853,0.016284503,6441.136207580566,1331.5352967885894,Türkü
Divane Ettin Aklımı-Aşık Mahzuni Şerif,129.19921875,0.2735267,0.3006444,0.17323169,0.07410481,8.287837,63.901234,0.055081939697265624,0.01829182352600068,1328.8672566241437,350.52870212902184,1736.9335645666592,297.28830641344047,24.42483220598225,10.883105055145284,0.0018096536,0.003087209,2426.9518089294434,1021.2442566391585,Türkü
Mahzuni Şerif-Aşık Mahzuni Şerif,92.28515625,0.34622812,0.30332097,0.1677371,0.05900925,7.0355673,40.325592,0.08071823120117187,0.04465919119589362,2047.950179877263,657.6692588558287,2355.5934091116414,365.5660821660985,22.889623142808095,11.704473332366751,0.012224774,0.018162442,4507.513446807861,1356.393995441616,Türkü
